name,description,price,imageUrl
Zara Sequin Maxi Skirt,"This captivating black sequin maxi skirt is designed to shimmer and reflect light with every step, creating a dynamic and luxurious visual effect. The skirt falls gracefully, featuring a fluid A-line silhouette that offers both comfort and sophisticated movement. The intricate sequin embellishments cover the entire fabric, ensuring a dazzling presence whether under subtle or bright lights. Style Vibe: Glamorous Chic / Evening Elegance. Fit: Flowy, A-line, designed to skim the body without clinging, providing an ethereal and elegant drape. Material: Lightweight fabric densely adorned with black sequins, offering a tactile and visually rich texture. Care: Due to the delicate nature of sequins, dry clean recommended to maintain its integrity and sparkle. Matches Well With: Tops: A clean, crisp white oversized t-shirt for a modern high-low contrast, a sleek black silk camisole for classic elegance, or a finely ribbed black long-sleeve top for cooler evenings. Outerwear: A structured leather biker jacket to introduce an edgy, contrasting element, or a classic, sharply tailored black blazer for a more polished and formal occasion. Shoes: Chic black ankle boots with a modest heel for an elevated casual look, or sophisticated stiletto heels to enhance its formal appeal. Accessories: A minimalist black clutch bag or a metallic silver chain-strap shoulder bag to complement the skirt's sparkle.",$129.90,Image1.jpg
Korean V-Neck Blouse,"This charming light pink blouse features a gentle V-neckline adorned with subtle, color-matched buttons running down the front, creating a soft focal point. Its short sleeves are delicately puffed, adding a touch of feminine volume without being overwhelming. The fabric drapes beautifully, offering a relaxed yet refined fit that is both comfortable and stylish for various occasions. Style Vibe: Feminine Casual / Soft Girl Aesthetic. Fit: Relaxed and comfortable, designed to gently fall over the body. The puffed sleeves add a subtle, flattering volume. Material: Lightweight, soft polyester blend that feels smooth against the skin and holds its shape well. Care: Machine wash cold on a gentle cycle to preserve the fabric and details. Matches Well With: Bottoms: High-waisted A-line skirts in pastel tones, tailored capri pants for a sophisticated daytime look, or light-wash straight-leg jeans for a casual outing. Outerwear: A light, unbuttoned cream cardigan for added warmth and softness, or a classic cropped denim jacket for a more casual and youthful ensemble. Shoes: Classic ballet flats for a sweet, simple look, white canvas sneakers for comfortable everyday wear, or low block heels for a touch of refined elegance. Accessories: A small, structured pastel-colored handbag or a cute straw tote bag for a summery feel.",$49.90,Image2.png
Pink Corduroy Jacket,"This stylish pink corduroy jacket reinterprets the classic trucker jacket design with a delightful pastel hue and a striking contrast brown collar. It features large, gold-tone buttons that stand out, adding a vintage-inspired charm. The jacket is designed with a slightly oversized, boxy fit, making it an excellent layering piece that offers both comfort and a distinctly retro-cool aesthetic. Style Vibe: Soft Academia / Vintage Casual. Fit: Boxy and slightly oversized, allowing for comfortable layering over various tops without restricting movement. Material: Soft, textured corduroy (likely a cotton blend) that provides warmth and a distinctive tactile feel. Care: Machine wash cold on a delicate cycle to protect the corduroy texture and color. Matches Well With: Bottoms: Pleated midi skirts in neutral tones, tailored plaid trousers for an academic-inspired look, or light-wash distressed denim jeans for a laid-back, effortlessly cool outfit. Inner Tops: A simple white crew-neck t-shirt, a fitted ribbed knit top, or a classic collared shirt in a contrasting color. Shoes: Chunky loafers for a scholastic touch, sturdy combat boots for an edgy vibe, or retro high-top canvas sneakers for a casual, sporty feel. Accessories: A brown leather satchel bag or a vintage-inspired beret.",$89.90,Image3.png
Pink A-Line High-Waisted Midi Skirt,"This elegant pink midi skirt boasts a flattering high-waisted design that cinches the waist, flowing into a graceful A-line silhouette with gentle pleats. The skirt's structure allows it to maintain its beautiful drape while providing comfortable movement. It comes with a sleek black belt featuring a gold buckle, which perfectly complements the soft pink and adds a touch of sophisticated contrast. Style Vibe: Classic Feminine / Elegant Casual. Fit: High-waisted and A-line, designed to highlight the waist and flow outwards for a universally flattering shape. Material: Smooth, medium-weight polyester blend fabric that holds its pleats well and has a subtle sheen. Care: Machine wash cold, preferably on a gentle cycle, to maintain the fabric's integrity and pleating. Matches Well With: Tops: A fitted black or white knit top for a streamlined look, a tucked-in silk blouse in a complementary shade, or a delicate lace camisole for a more refined ensemble. Outerwear: A classic tailored blazer in black or navy, a form-fitting cardigan, or a sophisticated trench coat. Shoes: Elegant heeled sandals, pointed-toe flats, or graceful ankle boots with a slender heel. Accessories: A structured top-handle bag in a dark tone or a chic wide-brimmed hat for an outdoor event.",$79.90,Image4.png
Beige A-Line Wide-Leg Trousers,"These sophisticated beige trousers feature a high-waisted A-line cut with refined pleats that extend downwards, creating a flowing and spacious wide-leg silhouette. The design offers an unparalleled combination of comfort and tailored elegance, making them perfect for creating a polished yet relaxed look. The light, neutral color ensures versatility across a multitude of outfits and occasions. Style Vibe: Minimalist Chic / Effortless Elegance. Fit: High-waisted, wide-leg, and relaxed, designed to offer maximum comfort while maintaining a refined and elongated silhouette. Material: Lightweight linen or a breathable cotton blend, providing excellent drape and comfort, especially in warmer climates. Care: Machine wash cold on a gentle cycle to preserve the fabric's soft texture and prevent creasing. Matches Well With: Tops: A tucked-in simple white t-shirt, a fitted ribbed knit top in a complementary neutral color, or an oversized, unbuttoned linen shirt for a relaxed yet stylish ensemble. Outerwear: A light, unlined blazer in a matching neutral tone, a relaxed linen overshirt, or a long, flowing cardigan. Shoes: Elegant espadrille wedges, minimalist flat sandals, or pristine white low-top sneakers for a clean, contemporary look. Accessories: A large, structured straw tote bag for a summery vibe or a sophisticated leather crossbody bag.",$85.90,Image5.png
Olive Green Baggy Cargo Pants,"These olive green cargo pants embody a contemporary streetwear aesthetic with their distinctively baggy fit and utilitarian details. They feature prominent side cargo pockets, along with adjustable drawstring details at both the waist and the ankles, allowing for a customizable fit and silhouette. Their relaxed and loose design ensures ultimate comfort and an effortlessly cool, urban-inspired vibe. Style Vibe: Streetwear / Utility Chic. Fit: Extremely baggy and oversized throughout the leg, offering a relaxed and unrestrictive feel, with adjustable elements for personalized styling. Material: Durable cotton-poly blend, designed to withstand daily wear while maintaining a comfortable feel. Care: Machine wash cold for easy care and to preserve the fabric's integrity. Matches Well With: Tops: A tight-fitting cropped t-shirt to balance the baggy bottoms, an oversized graphic hoodie for a full streetwear ensemble, or a simple fitted tank top. Outerwear: A classic bomber jacket, a distressed denim jacket, or a lightweight windbreaker. Shoes: Chunky platform sneakers, sturdy combat boots, or classic high-top canvas sneakers for an authentic streetwear finish. Accessories: A black canvas tote bag or a casual baseball cap.",$69.90,Image6.png
Men's Burgundy Chinos,"These striking burgundy chinos offer a modern and sophisticated alternative to traditional casual trousers. They feature a refined slim, tapered fit that contours neatly without being restrictive, creating a sharp and contemporary silhouette. The rich, deep burgundy color adds a bold yet versatile touch, making them suitable for elevating both casual and smart-casual outfits. Style Vibe: Smart Casual / Contemporary Gentleman. Fit: Slim and tapered through the leg, designed to offer a sleek and modern outline without compromising comfort. Material: Soft yet durable cotton blend with a slight stretch, ensuring comfort and shape retention throughout the day. Care: Machine wash cold to maintain the color vibrancy and fabric quality. Matches Well With: Tops: A crisp white oxford shirt for a timeless smart-casual look, a light blue chambray shirt for a relaxed yet put-together vibe, or a simple charcoal grey crew-neck t-shirt for a casual outing. Outerwear: A light brown or navy casual button-down shirt (worn open over a tee), a classic denim jacket, or a lightweight bomber jacket. Shoes: Clean white minimalist sneakers for a fresh, modern pairing, classic brown leather loafers, or stylish desert boots. Accessories: A timeless leather belt in brown or black, or a sleek, minimalist watch.",$59.90,Image7.png
Men's Cream Track Jacket,"This understated cream track jacket presents a clean and minimalist design, featuring a classic stand-up collar and a full zip closure. Its simple lines and neutral cream color ensure versatility, making it an effortless layering piece for achieving a comfortable yet polished casual look. The design prioritizes comfort without sacrificing a refined aesthetic. Style Vibe: Casual Sporty / Minimalist Everyday. Fit: Regular fit, offering enough room for layering without appearing bulky, designed for comfortable, everyday wear. Material: Soft, medium-weight cotton-poly blend, providing warmth and a comfortable feel against the skin. Care: Machine wash cold for easy maintenance and longevity. Matches Well With: Bottoms: Dark brown corduroy trousers (as pictured), sleek black denim jeans, or tailored charcoal grey joggers for a relaxed but refined ensemble. Inner Tops: A simple white ribbed tank top for a layered look, or a plain crew-neck t-shirt in white or a muted tone. Shoes: Clean white minimalist sneakers for a cohesive look, black chunky loafers, or casual suede boots. Accessories: A black canvas tote bag for daily essentials or a simple, dark-colored baseball cap.",$75.90,Image8.png
Yellow Collared Blouse,"This vibrant yellow blouse brightens any ensemble with its cheerful hue and classic design. It features a crisp, pointed collar and a gentle V-neckline, complemented by sleeves that are styled with a rolled-up tab, adding a touch of casual sophistication. Its comfortable fit and eye-catching color make it a versatile piece suitable for both professional settings and relaxed outings. Style Vibe: Cheerful Chic / Smart Casual. Fit: Relaxed yet structured, designed to drape comfortably while maintaining a polished appearance. Material: Lightweight and breathable polyester fabric, ensuring comfort and easy care. Care: Machine wash cold on a gentle cycle to preserve its vibrant color and smooth texture. Matches Well With: Bottoms: Tailored beige high-waisted trousers for a professional yet stylish look, dark wash straight-leg jeans for a casual chic outfit, or a navy pencil skirt for a classic office ensemble. Outerwear: A tailored white blazer for a sophisticated contrast, or a light denim jacket for a more casual and approachable vibe. Shoes: Classic loafers, low block heels for comfort and elegance, or white minimalist sneakers for a fresh, casual pairing. Accessories: A structured, neutral-toned handbag or a large, chic straw hat for sunny days.",$54.90,Image9.png
Cream Varsity Jacket with Embellishments,"This cream varsity jacket offers a playful yet glamorous take on a classic athletic staple. It features a large, intricate design on the front, adorned with dazzling sequins or rhinestones, making it a true statement piece. The jacket maintains traditional varsity elements like striped ribbed cuffs and hem, while its oversized fit provides a comfortable and contemporary silhouette, perfect for creating a bold and youthful look. Style Vibe: Trendy Streetwear / K-Pop Inspired. Fit: Significantly oversized and relaxed, designed to be worn loosely for a modern and comfortable aesthetic. Material: Soft cotton-poly blend body with detailed sequin or rhinestone embellishments, and ribbed knit trim. Care: Due to embellishments, dry clean recommended or very gentle hand wash to protect the intricate details. Matches Well With: Bottoms: Distressed light-wash jeans, wide-leg cargo pants in a neutral color, or a pleated mini skirt for a more feminine edge. Inner Tops: A plain cropped top, an oversized graphic t-shirt that peeks from underneath, or a fitted long-sleeve top. Shoes: Chunky platform sneakers, sturdy combat boots, or classic high-top canvas shoes to complete the streetwear aesthetic. Accessories: A casual baseball cap in a complementary color or a trendy mini backpack.",$99.90,Image10.png
